word,ortho
b o j ɯ ʒ,boyıj
b o p ɯ z,bopız
b o p o ʒ,bopoj
b o p o p,bopop
b o v a n,bovan
b o ɟ ø z,bogöz
f i b ɯ ʒ,fibıj
f i f ø c,fifök
f i m y z,fimüz
f y c ø v,füköv
f ɯ d y c,fıdük
f u m o ʒ,fumoj
f a m o ʒ,famoj
v i c i t͡ʃ,vikiç
v ø d͡ʒ o h,vöcoh
v ø h u v,vöhuv
v ø ʒ ɯ h,vöjıh
v ø ɟ y m,vögüm
v ø l i v,völiv
v ø l i c,völik
v ø l y j,völüy
v ø l y c,völük
v ø l e j,völey
v ø l e c,völek
v ø l ø h,völöh
v ø l ø c,völök
v ø g a v,vögav
v ɯ ʒ o h,vıjoh
v ɯ m o ʒ,vımoj
m y t ø ɾ,mütör
m y d͡ʒ i z,müciz
m y d͡ʒ y z,mücüz
m y d͡ʒ e ʒ,mücej
m y d͡ʒ ɯ z,mücız
m y d͡ʒ u z,mücuz
m y z e l,müzel
m y z a z,müzaz
m y z a ʒ,müzaj
m y ʒ i l,müjil
m y ʒ ø z,müjöz
m y ʒ u z,müjuz
m y ɾ i ɾ,mürir
m y ɾ e ɾ,mürer
m y ɾ ɯ ɾ,mürır
m y ɾ a n,müran
m y ɾ o n,müron
m y p o ʒ,müpoj
m y m y ɾ,mümür
m y ɟ y z,mügüz
m y ɟ ø z,mügöz
m y k u ɾ,mükur
m y k o ʒ,mükoj
m e t e ɾ,meter
m e t ø ɾ,metör
m e ɾ ɯ ɾ,merır
m e ɾ u ɾ,merur
m u ɾ e ɾ,murer
m u ɾ u ɾ,murur
m u ɾ a n,muran
m a f ɯ ʒ,mafıj
c i t͡ʃ e f,kiçef
c y f e f,küfef
c e d͡ʒ e t͡ʃ,keceç
ɟ i ʒ ɯ ʒ,gijıj
ɟ i ʒ u ʒ,gijuj
ɟ i ʒ a ʒ,gijaj
ɟ i ʒ o ʒ,gijoj
ɟ i ɟ i c,gigik
ɟ i ɟ y c,gigük
ɟ i ɟ e c,gigek
ɟ i ɟ ø c,gigök
ɟ y s y f,güsüf
ɟ y ʒ ɯ ʒ,güjıj
ɟ y ʒ u ʒ,güjuj
ɟ y ʒ a ʒ,güjaj
ɟ y ʒ o ʒ,güjoj
ɟ y ɟ i c,gügik
ɟ y ɟ y c,gügük
ɟ y ɟ e c,gügek
ɟ y ɟ ø z,gügöz
ɟ y ɟ ø c,gügök
ɟ e ʒ ɯ ʒ,gejıj
ɟ e ʒ u ʒ,gejuj
ɟ e ʒ a ʒ,gejaj
ɟ e ʒ o ʒ,gejoj
ɟ e j ø z,geyöz
ɟ e ɟ i c,gegik
ɟ e ɟ y c,gegük
ɟ e ɟ e c,gegek
ɟ e ɟ ø c,gegök
ɟ e g u j,geguy
ɟ e g o h,gegoh
ɟ ø ʒ ɯ ʒ,göjıj
ɟ ø ʒ u ʒ,göjuj
ɟ ø ʒ a ʒ,göjaj
ɟ ø ʒ o ʒ,göjoj
ɟ ø j o ʒ,göyoj
ɟ ø c i c,gökik
ɟ ø c y c,gökük
ɟ ø c e c,gökek
ɟ ø c ø c,gökök
l i n u v,linuv
l i ʒ ɯ h,lijıh
l i ʒ ɯ v,lijıv
l i ʒ u v,lijuv
l i ʒ a v,lijav
l i ʒ o h,lijoh
l i ɾ a ɫ,liral
l i v ø h,livöh
l i v ø c,livök
l i v o h,livoh
l i l i v,liliv
l i l i c,lilik
l i l y j,lilüy
l i l y c,lilük
l i l e h,lileh
l i l e c,lilek
l i g a v,ligav
l y v ø h,lüvöh
l y v ø c,lüvök
l y l i v,lüliv
l y l i c,lülik
l y l y j,lülüy
l y l y c,lülük
l y l e j,lüley
l y l e c,lülek
l y g ɯ h,lügıh
l y g ɯ ʒ,lügıj
l y g u j,lüguy
l y g u v,lüguv
l y g a s,lügas
l y g a v,lügav
l y g o v,lügov
l e ʒ i z,lejiz
l e ʒ ɯ h,lejıh
l e ʒ ɯ ʒ,lejıj
l e ʒ a v,lejav
l e m i m,lemim
l e m ø c,lemök
l e l i v,leliv
l e l i c,lelik
l e l y j,lelüy
l e l y c,lelük
l e l e h,leleh
l e l e c,lelek
l e l ø c,lelök
l e k a ɾ,lekar
l e g u j,leguy
l e g a v,legav
l e g o h,legoh
l ø ʒ ɯ v,löjıv
l ø ʒ u v,löjuv
l ø ʒ a v,löjav
l ø ʒ o h,löjoh
k ɯ ɾ i n,kırin
k ɯ ɾ y ɾ,kırür
k ɯ ɾ e t,kıret
k ɯ ɾ ø ɾ,kırör
k ɯ ɾ ɯ ɾ,kırır
k ɯ ɾ u ɾ,kırur
k ɯ ɟ e h,kıgeh
k ɯ k o n,kıkon
k u t ø ɾ,kutör
k u ɾ i n,kurin
k u ɾ ɯ ɾ,kurır
k u m y ɾ,kumür
k u k o n,kukon
k a t ø ɾ,katör
k a ɾ e t,karet
k a m y ɾ,kamür
k a k ɯ ɾ,kakır
k a k u ɾ,kakur
k a k o n,kakon
k o n ø ɾ,konör
k o ɾ i n,korin
k o ɾ e n,koren
k o ɾ a n,koran
k o ɾ o n,koron
k o m y ɾ,komür
k o k u ɾ,kokur
k o ɫ ɯ ɾ,kolır
g ɯ d͡ʒ i n,gıcin
g ɯ d͡ʒ i l,gıcil
g ɯ d͡ʒ e n,gıcen
g ɯ d͡ʒ ɯ ʃ,gıcış
g ɯ d͡ʒ u z,gıcuz
g ɯ d͡ʒ u ɾ,gıcur
g ɯ ʃ e ʒ,gışej
g ɯ ʃ ø z,gışöz
g ɯ ʃ ɯ ɾ,gışır
g ɯ ʃ a n,gışan
g ɯ ʒ u ʒ,gıjuj
g ɯ ɾ a ʒ,gıraj
g ɯ m y z,gımüz
g ɯ ɟ i ʒ,gıgij
g ɯ ɟ y z,gıgüz
g ɯ ɟ y ʒ,gıgüj
g ɯ ɟ e ʒ,gıgej
g ɯ ɟ ø z,gıgöz
g ɯ ɟ ø ʒ,gıgöj
g ɯ k o ʒ,gıkoj
g ɯ k o p,gıkop
g u d͡ʒ ɯ z,gucız
g u h a n,guhan
g u m y z,gumüz
g a d͡ʒ ɯ ʃ,gacış
g a h a n,gahan
g a v e n,gaven
g a m y z,gamüz
g o d͡ʒ ɯ z,gocız
g o ʒ u ʒ,gojuj
g o ʒ o ʒ,gojoj
g o ɟ y ʒ,gogüj
g o ɟ ø ʒ,gogöj
ɫ a n y j,lanüy
ɫ a t a j,latay
ɫ a d͡ʒ o h,lacoh
ɫ a ʒ ɯ ʒ,lajıj
ɫ a ʒ ɯ v,lajıv
ɫ a ɾ u j,laruy
ɫ a v ø c,lavök
ɫ a m i v,lamiv
ɫ a m ø s,lamös
ɫ a m ɯ j,lamıy
ɫ a m o s,lamos
ɫ a c i v,lakiv
ɫ a c i c,lakik
ɫ a c y j,laküy
ɫ a c y c,lakük
ɫ a c e h,lakeh
ɫ a c e c,lakek
ɫ a c ø c,lakök
ɫ a l e ɾ,laler
ɫ a g u v,laguv
ɫ a g a v,lagav
ɫ o t i v,lotiv
ɫ o t y j,lotüy
ɫ o t a ɫ,lotal
ɫ o t o s,lotos
ɫ o t͡ʃ a v,loçav
ɫ o h e s,lohes
ɫ o h ɯ v,lohıv
ɫ o h u v,lohuv
ɫ o h o h,lohoh
ɫ o v ø c,lovök
ɫ o m ø s,lomös
ɫ o m ɯ t,lomıt
ɫ o c i v,lokiv
ɫ o c i c,lokik
ɫ o c y j,loküy
ɫ o c y c,lokük
ɫ o c e j,lokey
ɫ o c e c,lokek
ɫ o c ø c,lokök
n ɯ n ɯ j,nınıy
b o ʒ o ʒ,bojoj
m e s a n,mesan
s a ɫ a n,salan
m a ɾ a n,maran
l e ɾ u ɾ,lerur
j o ʒ y n,yojün
ʃ ø ʒ u z,şöjuz
b ø c ø ɾ,bökör
ɟ ø t͡ʃ ɯ p,göçıp
d o ɟ y c,dogük
b ø ʒ i ʒ,böjij
h ø ɟ y l,högül
j y d ø z,yüdöz
g ɯ ʃ ø n,gışön
s o ʒ a ʒ,sojaj
b a ʒ ø ɾ,bajör
f u ɟ ø ʒ,fugöj
f ɯ j y c,fıyük
p o ʒ o z,pojoz
ʃ y ʒ u ʒ,şüjuj
p u ʒ y ʃ,pujüş
c ø ʒ u z,köjuz
b ø ʒ y ʒ,böjüj
j ø ʒ ø z,yöjöz
v a ʒ ø v,vajöv
p ø ɟ ø ɾ,pögör
k u ʒ o ʒ,kujoj
ɟ ø k o ʒ,gökoj
b u n o ʒ,bunoj
s ø ɟ e f,sögef
h e ʒ ø ʒ,hejöj
j y ɟ y ʒ,yügüj
b ø ʒ e ʒ,böjej
b ø ʒ ø ʒ,böjöj
b ø ʒ o ʒ,böjoj
b ɯ d͡ʒ i c,bıcik
b a ʒ ø f,bajöf
b ø d͡ʒ o ʒ,böcoj
k o ʒ ø p,kojöp
h ø j o ʒ,höyoj
j o ɟ ø l,yogöl
ʃ ɯ ɟ ø ʒ,şıgöj
c y m y ʃ,kümüş
t͡ʃ ɯ ɟ ø ɾ,çıgör
p o ɟ y ʒ,pogüj
p ɯ ɟ ø z,pıgöz
j ø ɟ y ʒ,yögüj
ɟ ø ɟ ø z,gögöz
ɟ ø ɟ ø t͡ʃ,gögöç
z o ɟ ø l,zogöl
t i ɟ y c,tigük
v i f ø v,viföv
ɟ y z o k,güzok
ɟ ø l y v,gölüv
z ø ɟ i c,zögik
n ø ʒ ø l,nöjöl
ʃ y c ø c,şükök
ɟ ø j o j,göyoy
ʃ ø l ø c,şölök
z ø l ø c,zölök
ɟ ø l e j,göley
l e ɟ ø c,legök
c i v ø c,kivök
ɟ y l ø c,gülök
ɟ e g o j,gegoy
d͡ʒ o ɟ ø t,cogöt
f y z o ʒ,füzoj
h ø ɟ y s,högüs
b ø ʒ u ʒ,böjuj
ɫ u ɟ ø c,lugök
t͡ʃ ø c ø ɾ,çökör
g o ʒ ø c,gojök
ɟ ø z u f,gözuf
d ø ɟ ø l,dögöl
j o ʒ y ʒ,yojüj
g o ʒ u ɾ,gojur
ɟ ø c e h,gökeh
ɟ ø g ɯ ʒ,gögıj
ɟ i ɟ y j,gigüy
c e ɟ ø ʒ,kegöj
s ø ɟ ø f,sögöf
t͡ʃ ø ɟ ø f,çögöf
c i v e v,kivev
p y ʒ ø n,püjön
b ø ʒ a ʒ,böjaj
j y ʃ y c,yüşük
z ø ʒ ø h,zöjöh
d͡ʒ o ʒ y ʒ,cojüj
g u j ø ʒ,guyöj
g ɯ ɟ ø v,gıgöv
l y c e ʒ,lükej
ɟ y ɟ e j,gügey
v y ɟ i c,vügik
g o ɟ ø ʃ,gogöş
t͡ʃ ø c ø c,çökök
s a c e ʒ,sakej
l e t e ʒ,letej
z o ʒ o f,zojof
j i h ø c,yihök
p u ʒ ɯ m,pujım
t u l y c,tulük
b y ɟ y ʒ,bügüj
f ø ɟ y f,fögüf
v u ɟ y t͡ʃ,vugüç
ɟ ø n y c,gönük
ʃ ø ɟ ø t͡ʃ,şögöç
s ø ʒ o ʒ,söjoj
d o ɟ ø ʒ,dogöj
ɟ e ʃ ø c,geşök
ɟ i ʒ y c,gijük
l i ɟ y c,ligük
ɟ ø c i ʒ,gökij
