,word,ortho,vowels,uni_prob,bi_prob,bi_prob_smoothed,pos_uni_score,pos_bi_score,pos_uni_score_smoothed,pos_bi_score_smoothed,group,filename
16,ɫ a c e h,lakeh,ae,-18.035397518301707,-inf,-25.02799923003836,1.3994050843368315,1.0041760500679735,1.3989840913843423,1.0041613512211216,5,lakeh.mp3
17,ɫ a l e ɾ,laler,ae,-15.163099753645444,-19.935814013412397,-19.57616384349032,1.474127120354203,1.0201936391485853,1.473554395483853,1.0192033602125234,6,laler.mp3
18,ɫ a c i c,lakik,ai,-20.85006703745811,-inf,-28.268360365160696,1.393714475584772,1.0031978955195548,1.393307140789591,1.003244424758624,1,lakik.mp3
19,g a ɟ i l,gagil,ai,-21.711665732611312,-21.848897140452937,-21.63415311259603,1.4234248610169082,1.0082939096649637,1.4229631257047886,1.0080627500036243,2,gagil.mp3
20,ɫ a m i v,lamiv,ai,-15.108322670255824,-19.84096460834095,-19.840167964977656,1.45267848057084,1.022668785041178,1.452164539040134,1.0216640887099704,3,lamiv.mp3
21,ɫ a c i v,lakiv,ai,-18.573457430867325,-inf,-26.542814999082395,1.405256699256112,1.004371680977657,1.4048253291152235,1.004344736513621,4,lakiv.mp3
22,h a ʒ i z,hajiz,ai,-18.940586263929728,-16.033624750362595,-16.176584461461953,1.4424736309368726,1.029251961469784,1.4419758181306943,1.0278844545484396,5,hajiz.mp3
23,b a ʒ i n,bajin,ai,-17.80349425450386,-14.791020439297638,-14.925564091251209,1.5193623891917725,1.0328627171294904,1.518711994390168,1.0312294576154004,6,bajin.mp3
24,z a c i c,zakik,ai,-21.79076817824873,-inf,-28.16360280521193,1.396529547044278,1.0049309977725878,1.3961173439888992,1.0048864608834187,1,zakik.mp3
25,h a c i z,hakiz,ai,-19.17393398541818,-inf,-21.131318076779458,1.44361829462378,1.029014126217107,1.4431184887150887,1.027660226668782,2,hakiz.mp3
26,k a n i n,kanin,ai,-13.587711962107177,-12.244157249014869,-12.2628318923973,1.6359797029730567,1.0856556606918544,1.6351267738613084,1.0812238961757654,3,kanin.mp3
27,k a k o n,kakon,ao,-14.50659106646786,-12.17321902001452,-12.197940719744937,1.533550580453257,1.0716980709170678,1.532883248380266,1.0680836932215294,4,kakon.mp3
28,ɫ a m o s,lamos,ao,-15.135202724992508,-18.53976533327283,-18.547827889802,1.3788112113885682,1.0185489274708253,1.378427016464903,1.017775753755317,5,lamos.mp3
29,b a j o p,bayop,ao,-17.147287610817873,-14.064023784516072,-14.101916418410518,1.4125267904421874,1.0381955836146763,1.412088909749735,1.0363910290645393,6,bayop.mp3
30,f a m o ʒ,famoj,ao,-19.525006628199367,-18.56252100678364,-18.678545352468166,1.3639122810041675,1.0205395864056823,1.3635640039359638,1.0196690224611438,1,famoj.mp3
31,z a ʒ o ʒ,zajoj,ao,-22.39965586755501,-21.87536781165056,-21.90077854150801,1.3043020941229309,1.0045825459876734,1.3040574801062963,1.004557699117261,2,zajoj.mp3
32,z a ʒ o h,zajoh,ao,-20.01616939621291,-23.3231454652614,-23.200842055018715,1.3161703693104103,1.0043869150779896,1.3159010409835006,1.0043743138247614,3,zajoh.mp3
33,h a ʒ o ʒ,hajoj,ao,-22.411292023981808,-19.98257424570709,-20.012146466153983,1.3339144804373528,1.0242965841159228,1.3336186560682508,1.023235860036801,4,hajoj.mp3
34,ɫ a d͡ʒ o h,lacoh,ao,-17.01330714374341,-22.624939743800624,-22.534580136155395,1.3256740594338108,1.0050050745212178,1.3253881497876747,1.0049588515389372,5,lacoh.mp3
35,h a j o ʒ,hayoj,ao,-19.70425756699943,-16.051747969710995,-16.174734890728512,1.375285896549857,1.0416275407035844,1.374918035761362,1.0396478965275615,6,hayoj.mp3
36,z a g u ʒ,zaguj,au,-20.29947828385247,-22.63081735331332,-22.558066597039417,1.3322117684361712,1.0060543305370335,1.331916871021566,1.005951900443092,1,zaguj.mp3
37,h a ʒ u z,hajuz,au,-19.82947465460673,-17.11965647191572,-17.218070915836304,1.3720422673264103,1.0259268416966203,1.3716726499377587,1.0247640708076309,2,hajuz.mp3
38,ɫ a ɾ u j,laruy,au,-14.988213898012642,-18.225237785879077,-18.23265340120377,1.4806633127456936,1.0515741074637193,1.48010342214873,1.0490474569155095,3,laruy.mp3
39,b a b u z,babuz,au,-17.031411824215805,-14.580740364522184,-14.616442917521326,1.4171372456831095,1.0339474952511396,1.4166893612568667,1.0323546619528714,4,babuz.mp3
40,z a ʒ u ʒ,zajuj,au,-22.21296112594883,-22.467527661364898,-22.468435327208887,1.3256708330824156,1.0043869150779896,1.3253873248250263,1.0043743138247614,5,zajuj.mp3
41,ɫ a g u v,laguv,au,-17.315515257959518,-22.20438998670757,-22.1942114842724,1.3402216073124982,1.0047777004065963,1.3399090365344333,1.0047377633341297,6,laguv.mp3
42,h a ʒ u ʒ,hajuj,au,-22.22459728237563,-20.574734095421437,-20.57980325185485,1.3552832193968376,1.024100953206239,1.354948500786981,1.0230524747443015,1,hajuj.mp3
43,j a b u ʒ,yabuj,au,-19.31027464586884,-18.66177474584945,-18.602207543248568,1.3727688430545328,1.029576112826616,1.3724036038051812,1.02823132533125,2,yabuj.mp3
44,k a k u ɾ,kakur,au,-14.067811152368842,-12.708404717891712,-12.729721104711002,1.5578537830579977,1.0749244666982,1.5571414460631403,1.071116634968564,3,kakur.mp3
45,z a c y c,zakük,ay,-22.967338641377516,-inf,-27.738112216193443,1.30615402707163,1.004670156559676,1.305906320725149,1.004641947160086,4,zakük.mp3
46,ɫ a c y j,laküy,ay,-19.086255322116067,-inf,-25.538775771876324,1.3230324671869529,1.003067474913099,1.3227486196407618,1.0031221678969575,5,laküy.mp3
47,g a m y z,gamüz,ay,-17.355373317181197,-14.240338449458276,-14.287440891901769,1.3908659418471938,1.0224670797058462,1.390465006547887,1.02149027043917,6,gamüz.mp3
48,h a ɟ y ʒ,hagüj,ay,-23.863657450841075,-22.624553381069926,-22.344510460590467,1.3349575084723493,1.0247789272681185,1.334659755521368,1.023693209239092,1,hagüj.mp3
49,ɫ a c y c,lakük,ay,-22.026637500586897,-inf,-27.84286977614221,1.303338955612124,1.0029370543066431,1.3030961175258404,1.0029999110352912,2,lakük.mp3
50,ɫ a n y j,lanüy,ay,-15.527981142957266,-20.048631415631327,-20.029886559218973,1.394546693721347,1.0266470238072245,1.394138324722925,1.0254534974166822,3,lanüy.mp3
51,h a ʒ y z,hajüz,ay,-20.11715672705851,-17.4716328950729,-17.489616749544957,1.3520981109642247,1.0246878459352902,1.3517647948669438,1.0236026306218002,4,hajüz.mp3
52,d a d͡ʒ y c,dacük,ay,-20.390530859618952,-21.37064354819536,-21.197885713347908,1.3547360937852992,1.0112501093178448,1.3544042392735065,1.0108747896025891,5,dacük.mp3
53,k a m y ɾ,kamür,ay,-14.60533667129042,-12.566891947703592,-12.592572980919178,1.5244462014259983,1.062697489208468,1.5237936084044486,1.0595720312963168,6,kamür.mp3
54,ɫ a v ø c,lavök,aø,-20.9587256480507,-inf,-27.741190815322057,1.3120436196337373,1.0128467704178925,1.311787239641347,1.0123863819849432,1,lavök.mp3
55,h a t͡ʃ ø z,haçöz,aø,-19.2911820112246,-16.038256272556517,-16.08294553334273,1.3428697105576248,1.02767606738203,1.3425540778269385,1.026436686056419,2,haçöz.mp3
56,b a ɟ ø z,bagöz,aø,-22.46994439760235,-inf,-18.968121900756447,1.3525891302094293,1.0208335147527232,1.3522568267997628,1.0199546011622187,3,bagöz.mp3
57,z a ɟ ø c,zagök,aø,-25.29406676995731,-inf,-27.908409897602446,1.2841708027252068,1.0048774852295213,1.2839629886018915,1.004838949859867,4,zagök.mp3
58,ɫ a c ø c,lakök,aø,-23.235335254641484,-inf,-28.96719851740822,1.2828819495149104,1.0028718440034152,1.2826763461817758,1.002938782604458,5,lakök.mp3
59,j a c ø t͡ʃ,yaköç,aø,-21.596104374841666,-inf,-22.599644393527782,1.31698528948836,1.0178198509358245,1.316717900772158,1.0171013441808128,6,yaköç.mp3
60,ɫ a m ø s,lamös,aø,-16.4448878098927,-21.700506185311,-21.560223247833047,1.3597787878886536,1.0166672670594712,1.359429234768754,1.0160046485573355,1,lamös.mp3
61,b a ɟ ø ʒ,bagöj,aø,-24.86506702537125,-inf,-23.420803652697536,1.3358300822798563,1.0206378838430394,1.335532677648985,1.0197712158697192,2,bagöj.mp3
62,k a t ø ɾ,katör,aø,-15.581196584717304,-14.400670214601377,-14.436010397238292,1.5237210169792808,1.059134654867906,1.5230713014199444,1.0562306009407805,3,katör.mp3
63,m a f ɯ ʒ,mafıj,aɯ,-19.123444916118363,-inf,-20.272463690019517,1.433901152468908,1.028327685373242,1.4334293801112787,1.0270542242358425,4,mafıj.mp3
64,k a k ɯ ɾ,kakır,aɯ,-13.852944181894014,-12.144674325482123,-12.165544970347293,1.5676549113274147,1.081113994281714,1.5669247348407982,1.076949339812567,5,kakır.mp3
65,ɫ a ʒ ɯ ʒ,lajıj,aɯ,-21.057393014683385,-inf,-26.41048458696313,1.3326568898923266,1.0026538128249567,1.3323604104033762,1.0027322776999663,6,lajıj.mp3
66,ɫ a ʒ ɯ v,lajıv,aɯ,-19.01413112958105,-25.27309072876929,-24.70218102731933,1.3434818002281597,1.0027190231281846,1.3431627791155516,1.0027934061307997,1,lajıv.mp3
67,z a ʒ ɯ ʒ,zajıj,aɯ,-21.998094155474003,-inf,-26.305727027014363,1.3354719613518329,1.0043869150779896,1.3351706136026844,1.0043743138247614,2,zajıj.mp3
68,g a d͡ʒ ɯ ʃ,gacış,aɯ,-18.1433036565909,-15.499386284508248,-15.553373615329928,1.387167586098868,1.015460105386242,1.3867697858340529,1.014803618740054,3,gacış.mp3
69,b a d͡ʒ ɯ z,bacız,aɯ,-17.34515839292861,-14.26280182945655,-14.306332778850988,1.4154917370834543,1.0246087747061503,1.4150459441905807,1.023516791495323,4,bacız.mp3
70,b a ʒ ɯ ʒ,bajıj,aɯ,-21.802442132376388,-inf,-24.18673784570743,1.3864139275709753,1.0201473136915078,1.3860244830363206,1.0193065798346137,5,bajıj.mp3
71,ɫ a m ɯ j,lamıy,aɯ,-15.11857151857796,-20.33622952955124,-20.330363342345912,1.4001995331332835,1.017897430130006,1.3997789734141448,1.0171616356786684,6,lamıy.mp3
72,b e v a z,bevaz,ea,-16.49220087297713,-13.608243420111007,-13.653196067821916,1.477372226790212,1.039668977985646,1.4768067318712417,1.0377122037388582,1,bevaz.mp3
73,b e ʒ a v,bejav,ea,-18.887323500746025,-19.56906284531509,-19.661279048791737,1.441131755390738,1.018474361069321,1.4406313873886738,1.01766664871558,2,bejav.mp3
74,b e ʒ a ʒ,bejaj,ea,-20.93058538584836,-19.48837816175328,-19.69732468362156,1.4303068450549048,1.014235691359507,1.4298290186764984,1.013693300711423,3,bejaj.mp3
75,l e k a ɾ,lekar,ea,-15.017293036612118,-19.40783449813068,-19.044786274829686,1.5080939526744883,1.045194852222235,1.5074543029063974,1.0427811490211962,4,lekar.mp3
76,l e g a v,legav,ea,-18.119190425169464,-25.71501109338958,-25.332981685756884,1.3881772381676205,1.008863681612553,1.3877683698152172,1.0085537534032074,5,legav.mp3
77,l e ʒ a v,lejav,ea,-20.032673267265825,-26.44332906685423,-26.14940301912727,1.3816363028138647,1.0061260075164613,1.381238823618678,1.0059671413264173,6,lejav.mp3
78,ɟ e ʒ a ʒ,gejaj,ea,-24.87273813272853,-inf,-27.9824876029104,1.3654519295070486,1.0018873378066473,1.3650862603539733,1.0019937933222605,1,gejaj.mp3
79,t e ɾ a n,teran,ea,-13.154797069130572,-11.724338917087254,-11.742921937601642,1.6505512704719087,1.1099233378103026,1.6496653866651498,1.104018173778758,2,teran.mp3
80,b e v a ʒ,bevaj,ea,-18.887323500746025,-15.872593466040806,-16.021901122917775,1.460613178860639,1.0349086258500086,1.460082582720464,1.033249828288036,3,bevaj.mp3
81,ɟ e ɟ e c,gegek,ee,-26.93213315832468,-inf,-34.31977028302991,1.279903805241355,1.0007611186215082,1.279694004217295,1.0009324466444522,4,gegek.mp3
82,n e l e s,neles,ee,-16.133712940143006,-22.309363966878458,-21.94511758334053,1.3421106100147846,1.0138487784772976,1.3417826732353673,1.0132823171708598,5,neles.mp3
83,m e t e ɾ,meter,ee,-13.722605695771906,-12.003654907782868,-12.023346713937531,1.5195622914746405,1.0525880770319855,1.518910401773783,1.0498613480187184,6,meter.mp3
84,l e l e c,lelek,ee,-21.338527197603927,-31.45089604529384,-30.582591541482635,1.2981271077413907,1.0037045395306985,1.2978856396230185,1.0037202628550872,1,lelek.mp3
85,b e v e ʒ,bevej,ee,-19.361992708840056,-16.706821942985723,-16.834862117610335,1.3761639224927549,1.0278984680883785,1.3757870363920413,1.0266329792683782,2,bevej.mp3
86,b e ɟ e ʒ,begej,ee,-22.756632689956056,-inf,-24.058032387919116,1.345476034124718,1.0127182103550003,1.3451525821532777,1.0122651834486156,3,begej.mp3
87,l e l e h,leleh,ee,-18.72169300477338,-28.452981385838587,-27.71152573039103,1.3107126962643774,1.0043566425629775,1.31044502011368,1.0043315471634189,4,leleh.mp3
88,b e v e z,bevez,ee,-16.966870081071157,-14.397609492998663,-14.44031212076233,1.3929229704223276,1.029528725669076,1.392511185542819,1.0281611900392078,5,bevez.mp3
89,c e d͡ʒ e t͡ʃ,keceç,ee,-20.132543384729967,-inf,-23.078955930544776,1.3025086740061806,1.007703124650714,1.30225682196575,1.0074974497629463,6,keceç.mp3
90,b e v i z,beviz,ei,-17.164705407397012,-14.3441056545888,-14.386834265478743,1.3998179501932546,1.0313640525417127,1.3993936154387292,1.029874405398718,1,beviz.mp3
91,ɟ e ɟ i c,gegik,ei,-27.129968484650533,-inf,-33.995918426500694,1.286798785012282,1.0004350671053688,1.286576434113205,1.0006268044902862,2,gegik.mp3
92,l e l i c,lelik,ei,-21.536362523929785,-31.435382275761945,-30.66420479306158,1.3050220875123175,1.0033784880145589,1.3047680695189283,1.0034146207009211,3,lelik.mp3
93,b e ɟ i ʒ,begij,ei,-22.954468016281908,-24.63461507476936,-24.18943630400108,1.352371013895645,1.0125225794453168,1.3520350120491875,1.012081798156116,4,begij.mp3
94,t e ɾ i n,terin,ei,-13.827301603550456,-12.502644627942797,-12.521773624907365,1.5729969938749515,1.0804929495674649,1.5722522702326374,1.0763164691861506,5,terin.mp3
95,b e ʒ i l,bejil,ei,-20.15766503592153,-17.87290940676915,-18.003973266743422,1.3606430151485247,1.0147080117893146,1.3602899179920174,1.0141386071612013,6,bejil.mp3
96,l e l i v,leliv,ei,-19.259752917339,-29.576825325610372,-28.93865942698328,1.3165643111836578,1.004552273472661,1.316286257844561,1.0045149324559184,1,leliv.mp3
97,l e ʒ i z,lejiz,ei,-20.353317059019144,-23.404909965851168,-23.138865417442208,1.3100161638106471,1.005750594004306,1.3097474876247677,1.005617778175364,2,lejiz.mp3
98,l e m i m,lemim,ei,-16.284865608541942,-21.681059717316177,-21.31860352956532,1.380102008877493,1.023384257708429,1.3797039565377944,1.022273629864209,3,lemim.mp3
99,ɟ e ʒ o ʒ,gejoj,eo,-26.6208257994316,-inf,-28.771466371087545,1.1960975503401443,1.0007952166504448,1.196040131009795,1.0009691836637256,4,gejoj.mp3
100,b e j o ʒ,beyoj,eo,-19.97163859556905,-16.470032923117923,-16.58974983451702,1.3023238820005048,1.0234430212856789,1.3020822690254312,1.0224209443737986,5,beyoj.mp3
101,t e k o n,tekon,eo,-14.998265880403986,-12.987925813400334,-13.012766174055423,1.404395408692991,1.0462338914653162,1.4039515023966052,1.043960708572914,6,tekon.mp3
102,n e m o h,nemoh,eo,-16.32924773528244,-20.77206130453725,-20.72677249674745,1.276400178714621,1.016692629955233,1.2761991218991138,1.016027305212858,1,nemoh.mp3
103,ɟ e j o ʒ,geyoj,eo,-23.913791342449223,-inf,-24.87491275380586,1.2374689664526486,1.0110946677328192,1.2373395107029062,1.010721436984636,2,geyoj.mp3
104,l e g o h,legoh,eo,-19.527053505632765,-27.75113638166346,-27.30870853132985,1.2198662238523628,1.0014568108084176,1.2197634326360676,1.0015956377134012,3,legoh.mp3
105,h e ʒ o ʃ,hejoş,eo,-20.611692059199083,-21.352021945146213,-21.261716898107,1.2591859769516531,1.0061370897175157,1.2590125489549313,1.006025124082477,4,hejoş.mp3
106,ɟ e g o h,gegoh,eo,-22.32385648599314,-inf,-29.10574748028316,1.2145067608813798,1.0014568108084176,1.2144132380835384,1.0015956377134012,5,gegoh.mp3
107,b e j o p,beyop,eo,-17.621956818911904,-14.710265369997016,-14.747288468151918,1.318235195988115,1.023964703711502,1.3179604495421229,1.0229099718204642,6,beyop.mp3
108,l e g u j,leguy,eu,-19.01681077838631,-26.364507293773418,-25.975664718831844,1.2483428858636896,1.0016771227161092,1.248186398979058,1.0018008835043444,1,leguy.mp3
109,t͡ʃ e ʒ u ʒ,çejuj,eu,-23.04808049192325,-22.073070829734757,-22.06130764515632,1.2460500918115391,1.0066654436263762,1.2459043466753474,1.0065329248080075,2,çejuj.mp3
110,n e n u v,nenuv,eu,-16.389638161368726,-20.32506844843672,-20.31731129385749,1.3208179980421255,1.0235487936312362,1.320538269610069,1.0225154110321275,3,nenuv.mp3
111,m e ɾ u ɾ,merur,eu,-14.696942662362323,-13.023558297137315,-13.045322398545368,1.5265589938664366,1.061050686684545,1.5258999366294403,1.0579611009135987,4,merur.mp3
112,ɟ e ʒ u ʒ,gejuj,eu,-26.43413105782542,-inf,-29.33912315678841,1.2174662892996293,1.000599585740761,1.2173699757285252,1.000785798371226,5,gejuj.mp3
113,ɟ e g u j,geguy,eu,-21.813613758746683,-inf,-27.77270366778515,1.2429834228927066,1.0016771227161092,1.2428362044265289,1.0018008835043444,6,geguy.mp3
114,b e ʒ u z,bejuz,eu,-20.09685568317635,-17.616675465865157,-17.692227901481022,1.2990802527770584,1.0147738277840022,1.298836883201828,1.0141969018237178,1,bejuz.mp3
115,ʃ e z u ʒ,şezuj,eu,-20.413361161166105,-21.30607077641668,-21.23961045572301,1.274892670609532,1.0140542779889286,1.2746965965867414,1.0135267325647053,2,şezuj.mp3
116,b e v u z,bevuz,eu,-18.05359379807402,-15.116452617134565,-15.154527759561976,1.3293865865827923,1.027526083033521,1.3290904472457938,1.0262694472757412,3,bevuz.mp3
117,ɟ e ɟ y c,gegük,ey,-28.30653894777932,-inf,-33.570427837482214,1.196423265039634,1.000231209196349,1.1963654108494548,1.000436132364972,4,gegük.mp3
118,d͡ʒ e t͡ʃ y c,ceçük,ey,-21.506949174184605,-23.436694565711367,-23.25424943879691,1.2256817579040702,1.0104750503657995,1.2255731677132062,1.010138519579413,5,ceçük.mp3
119,b e ʒ y z,bejüz,ey,-20.38453775562813,-17.968651889022336,-17.963773735189676,1.2791360964148726,1.0135348320226718,1.278929028131013,1.0130354616378874,6,bejüz.mp3
120,t e m y ɾ,temür,ey,-15.097011485226544,-13.149158478430715,-13.17506319379305,1.3952910296657324,1.043610721726628,1.3948618624207878,1.0414893151040772,1,temür.mp3
121,v e ɟ y ʒ,vegüj,ey,-24.678551245174877,-25.32234222567088,-24.826847868345496,1.2138685991633609,1.0052790884770466,1.2137803225511092,1.0052181146545902,2,vegüj.mp3
122,n e p y j,nepüy,ey,-16.98879234295367,-21.717938967258256,-21.69222912574372,1.2636746444640563,1.0096114935791205,1.2634932080325365,1.0093200333401624,3,nepüy.mp3
123,l e l y c,lelük,ey,-22.712932987058565,-inf,-31.625008565162982,1.2146465675396698,1.0031176468016472,1.214557046255178,1.0031701069775885,4,lelük.mp3
124,l e l y j,lelüy,ey,-19.77255080858773,-inf,-29.3209145608971,1.2343400791144985,1.003248067408103,1.2342095483700994,1.0032923638392548,5,lelüy.mp3
125,b e d͡ʒ y z,becüz,ey,-18.322376643949248,-15.50382960677507,-15.540572147404909,1.291454857997779,1.017144724013624,1.2912263401344954,1.0164538694214755,6,becüz.mp3
126,ɟ e ɟ ø c,gegök,eø,-29.515236701833903,-inf,-35.387903759308166,1.1759662589424205,1.0001090155892292,1.1759456395053902,1.0003211623361203,1,gegök.mp3
127,t͡ʃ e ʒ ø z,çejöz,eø,-22.14933769066073,-19.18578744927172,-19.077176117348685,1.222407977281713,1.00686107453606,1.2223008694112456,1.0067163101005072,2,çejöz.mp3
128,m e t ø ɾ,metör,eø,-16.305709239281132,-14.332928742029557,-14.370439435773992,1.415624745175706,1.0262030905848891,1.415162037061878,1.0250322748512253,3,metör.mp3
129,v e ɟ ø ʒ,vegöj,eø,-25.88724899922946,-inf,-26.13349816640546,1.1934115930661473,1.0050916845666988,1.1933605512070449,1.0050420161949054,4,vegöj.mp3
130,ɟ e j ø z,geyöz,eø,-22.82835379958052,-inf,-24.81298284362385,1.235195590882307,1.009898018351088,1.2350658781575348,1.0095907634262449,5,geyöz.mp3
131,b e t͡ʃ ø z,beçöz,eø,-19.55856303979421,-16.45022001700887,-16.488509727521837,1.2699076960082727,1.015705436550192,1.2697183110910075,1.0150951236806631,6,beçöz.mp3
132,l e m ø c,lemök,eø,-22.135268586336817,-inf,-30.8974573340183,1.2302737214773412,1.0104704475845636,1.230158604762022,1.010134576043257,1,lemök.mp3
133,n e m ø h,nemöh,eø,-17.63893282018263,-23.558108707134007,-23.245886540663424,1.2573677552147065,1.0157239137890697,1.2572013402029647,1.015111998046541,2,nemöh.mp3
134,l e l ø c,lelök,eø,-23.921630741113155,-inf,-32.749337306429,1.1941895614424562,1.0030524364984192,1.1941372749111134,1.0031089785467553,3,lelök.mp3
135,ɟ e d͡ʒ ɯ ʃ,gecış,eɯ,-21.88283380279496,-inf,-23.003164237882388,1.2591492701203255,1.0107052213650367,1.2589729296039585,1.0102980225080054,4,gecış.mp3
136,ɟ e ʒ ɯ ʒ,gejıj,eɯ,-26.219264087350595,-inf,-33.17641485659389,1.2272674175690463,1.000599585740761,1.2271532645061831,1.000785798371226,5,gejıj.mp3
137,n e m ɯ v,nemıv,eɯ,-16.2679106094412,-21.623136884117503,-21.602958834317167,1.3065266810918763,1.0163019738273251,1.3062710632304733,1.015657700859542,6,nemıv.mp3
138,b e d͡ʒ ɯ z,becız,eɯ,-17.81982760102264,-14.454949896520516,-14.498099044664276,1.3212001426293818,1.018554063995171,1.3209174839829685,1.0177796681696785,1,becız.mp3
139,l e ʒ ɯ h,lejıh,eɯ,-21.03897463564812,-30.18402807989924,-29.20540471553685,1.244495155727509,1.0007952166504448,1.2443470199359166,1.0009691836637256,2,lejıh.mp3
140,l e ʒ ɯ ʒ,lejıj,eɯ,-23.42246110699022,-inf,-31.37937590764058,1.2326268805400291,1.000599585740761,1.2325034590587125,1.000785798371226,3,lejıj.mp3
141,m e ɾ ɯ ɾ,merır,eɯ,-14.482075691887497,-12.618518906214195,-12.639743620026252,1.5363601221358536,1.0643340657695692,1.535683225407098,1.061047884258652,4,merır.mp3
142,d͡ʒ e b ɯ ʒ,cebıj,eɯ,-20.21495022879154,-inf,-22.87691116711818,1.2686811486325449,1.0124836117672047,1.2684950947185034,1.0120414031131446,5,cebıj.mp3
143,b e ʒ ɯ z,bejız,eɯ,-19.881988712701524,-20.15074841057007,-19.602322161163336,1.3088813810464754,1.014317355661407,1.308620171979486,1.0137690028078854,6,bejız.mp3
144,l i ɾ a ɫ,liral,ia,-15.3609350799713,-19.8361902836386,-19.591438837393905,1.4834033363849624,1.052665896370704,1.482810949290984,1.049897439309165,1,liral.mp3
145,l i ʒ a v,lijav,ia,-20.23050859359168,-26.93864092108832,-26.6862720433174,1.2954686251708838,1.005853468543388,1.2952202250027611,1.005709010195803,2,lijav.mp3
146,b i ʒ a ʒ,bijaj,ia,-21.12842071217421,-20.462820259132272,-20.59539447720862,1.344139167411924,1.013475717377768,1.3438104200605814,1.0129733469207105,3,bijaj.mp3
147,b i h a ʒ,bihaj,ia,-18.744934240832112,-16.24298849238163,-16.385096205880032,1.3733553453253655,1.0233784812990958,1.372975726405124,1.0223335961608893,4,bihaj.mp3
148,b i h a z,bihaz,ia,-16.349811613063217,-13.978638446451834,-14.016391150784171,1.3901143932549385,1.0281388334347332,1.3896998755559016,1.0267959716117114,5,bihaz.mp3
149,ɟ i ʒ a ʒ,gijaj,ia,-25.070573459054387,-28.408200172943992,-28.11389151899236,1.2792842518640677,1.001614798833574,1.2790676617380563,1.0017356621916462,6,gijaj.mp3
150,ʃ i ʒ a z,şijaz,ia,-19.04980356239507,-19.97037085869323,-19.99831106394273,1.315532256051761,1.0098413554752772,1.315247063807122,1.009482109892058,1,şijaz.mp3
151,l i g a v,ligav,ia,-18.317025751495315,-24.90199012797349,-24.64460050717379,1.3020095605246391,1.0094632673533137,1.3017497711993005,1.0091216418905589,2,ligav.mp3
152,t i k a n,tikan,ia,-13.448013540026771,-12.360180704819967,-12.378790372777791,1.4875821102169142,1.045676820009706,1.486979033124867,1.0431959745683663,3,tikan.mp3
